,sitecode,nodename,model,loopback_id,router_id,menagement_ip,node_type,region,vendor
0,MC34M,RAC_MC34M21C,CISCO_ASR920CC,,,10.122.35.124,RAC,BKK,Cisco
1,TLNTM,RAC_TLNTM01C,CISCO_ASR901_TENGIG_DC_TDM,Loopback0,10.122.72.166,10.124.37.100,RAC,BKK,Cisco
2,ETNTM,RAC_ETNTM01C,CISCO_ASR901_TENGIG_DC_TDM,Loopback0,10.122.73.249,10.124.47.148,RAC,BKK,Cisco
3,BKESM,RAC_BKESM51C,ciscoNCS540,Loopback0,10.64.2.148,10.124.209.148,RAC,BKK,Cisco
4,MKKSM,RAC_MKKSM21C,CISCO_ASR920CC,,,10.122.22.244,RAC,BKK,Cisco
5,LB44M,RAC_LB44M21C,CISCO_ASR920CC,,,10.122.24.44,RAC,BKK,Cisco
6,HAAWM,RAC_HAAWM21C,CISCO_ASR920CC,,,10.122.26.104,RAC,BKK,Cisco
7,PS39M,RAC_PS39M01C,CISCO_MWR_2941_DC_A,,,10.124.35.181,RAC,BKK,Cisco
8,PCFCP,RAC_PCFCP01C,CISCO_ASR901_TENGIG_DC_TDM,Loopback0,10.122.73.26,10.124.45.244,RAC,BKK,Cisco
9,KTNCM,RAC_KTNCM21C,CISCO_ASR920CC,,,10.122.12.244,RAC,BKK,Cisco
10,PRS2M,RAC_PRS2M51C,ciscoNCS540,Loopback0,10.64.9.89,10.124.216.89,RAC,BKK,Cisco
11,ST45M,RAC_ST45M21C,CISCO_ASR920CC,,,10.122.67.87,RAC,BKK,Cisco
12,R245M,RAC_R245M21C,CISCO_ASR920CC,,,10.122.21.105,RAC,BKK,Cisco
13,FS4VM,RAC_FS4VM21C,CISCO_ASR920CC,,,10.122.44.13,RAC,BKK,Cisco
14,RPR8M,RAC_RPR8M21C,CISCO_ASR920CC,,,10.122.18.164,RAC,BKK,Cisco
15,CHVLM,RAC_CHVLM51C,ciscoNCS540,Loopback0,10.64.2.157,10.124.209.157,RAC,BKK,Cisco
16,LTRSP,RAC_LTRSP21C,CISCO_ASR920CC,,,10.122.11.253,RAC,BKK,Cisco
17,MPS2M,RAC_MPS2M51C,ciscoNCS540,Loopback0,10.64.2.194,10.124.209.194,RAC,BKK,Cisco
