,region,chain_name,chain_id,node_type,node_name,top_interface,top_interface_description,top_ip,bot_interface,bot_interface_description,bot_ip,chain_type,upe1,upe2
0,ER,C094,1,Aggegrate,RAG_NESB01C,,,,HundredGigE0/4/0/1,C094_RAG_NESB01C-RAC_MTKPM51C_all_wan_down,10.65.35.224,Full-Chain,RAG_NESB01C,RAG_PNIM01C
1,ER,C094,1,Access,RAC_MTKPM51C,HundredGigE0/0/1/0,C094_RAC_MTKPM51C-RAG_NESB01C_L1,10.65.35.225,HundredGigE0/0/1/1,C094_RAC_MTKPM51C-RAC_WGTPM51C_L1,10.65.35.226,Full-Chain,RAG_NESB01C,RAG_PNIM01C
2,ER,C094,1,Access,RAC_WGTPM51C,HundredGigE0/0/1/0,C094_RAC_WGTPM51C-RAC_MTKPM51C_L1,10.65.35.227,HundredGigE0/0/1/1,C094_RAC_WGTPM51C-RAC_PLKGM51C_L1,10.65.35.228,Full-Chain,RAG_NESB01C,RAG_PNIM01C
3,ER,C094,1,Access,RAC_PLKGM51C,HundredGigE0/0/1/0,C094_RAC_PLKGM51C-RAC_WGTPM51C_L1,10.65.35.229,HundredGigE0/0/1/1,C094_RAC_PLKGM51C-RAC_PISRM51C_L1,10.65.35.230,Full-Chain,RAG_NESB01C,RAG_PNIM01C
4,ER,C094,1,Access,RAC_PISRM51C,HundredGigE0/0/1/0,C094_RAC_PISRM51C-RAC_PLKGM51C_L1,10.65.35.231,HundredGigE0/0/1/1,C094_RAC_PISRM51C-RAC_CASHM51C_L1,10.65.35.232,Full-Chain,RAG_NESB01C,RAG_PNIM01C
5,ER,C094,1,Access,RAC_CASHM51C,HundredGigE0/0/1/0,C094_RAC_CASHM51C-RAC_PISRM51C_L1,10.65.35.233,HundredGigE0/0/1/1,C094_RAC_CASHM51C-RAC_CAPNM51C_L1,10.65.35.234,Full-Chain,RAG_NESB01C,RAG_PNIM01C
6,ER,C094,1,Access,RAC_CAPNM51C,HundredGigE0/0/1/0,C094_RAC_CAPNM51C-RAC_CASHM51C_L1,10.65.35.235,HundredGigE0/0/1/1,C094_RAC_CAPNM51C-RAC_BMYIM51C_L1,10.65.35.236,Full-Chain,RAG_NESB01C,RAG_PNIM01C
7,ER,C094,1,Access,RAC_BMYIM51C,HundredGigE0/0/1/0,C094_RAC_BMYIM51C-RAC_CAPNM51C_L1,10.65.35.237,HundredGigE0/0/1/1,C094_RAC_BMYIM51C-RAC_YMKAM51C_L1,10.65.35.238,Full-Chain,RAG_NESB01C,RAG_PNIM01C
8,ER,C094,1,Access,RAC_YMKAM51C,HundredGigE0/0/1/0,C094_RAC_YMKAM51C-RAC_BMYIM51C_L1,10.65.35.239,HundredGigE0/0/1/1,C094_RAC_YMKAM51C-RAG_PNIM01C_L1,10.65.35.250,Full-Chain,RAG_NESB01C,RAG_PNIM01C
9,ER,C094,1,Aggegrate,RAG_PNIM01C,HundredGigE0/6/0/0,C094_RAG_PNIM01C-RAC_YMKAM51C_all_wan_down,10.65.35.251,,,,Full-Chain,RAG_NESB01C,RAG_PNIM01C
10,ER,C030,2,Aggegrate,RAG_PYOF02C,,,,HundredGigE0/14/1/0,C030_RAG_PYOF01C-RAC_HBLBM51C_all_wan_down,10.65.35.160,Full-Chain,RAG_PYOF02C,RAG_SSNN01C
11,ER,C030,2,Access,RAC_HBLBM51C,HundredGigE0/0/1/0,C030_RAC_HBLBM51C-RAG_PYOF02C_L1,10.65.35.161,HundredGigE0/0/1/1,C030_RAC_HBLBM51C-RAG_CSTGM51C_L1,10.65.35.162,Full-Chain,RAG_PYOF02C,RAG_SSNN01C
12,ER,C030,2,Access,RAC_CSTGM51C,HundredGigE0/0/1/0,C030_RAC_CSTGM51C-RAC_HBLBM51C_L1,10.65.35.163,HundredGigE0/0/1/1,C030_RAC_CSTGM21C-RAC_BMRMM51C_L1,10.65.35.164,Full-Chain,RAG_PYOF02C,RAG_SSNN01C
13,ER,C030,2,Access,RAC_BMRMM51C,HundredGigE0/0/1/0,C030_RAC_RAC_BMRMM51C-RAC_CSTGM51C_L1,10.65.35.165,HundredGigE0/0/1/1,C030_RAC_RAC_BMRMM51C-RAC_YAUDM51C_L1,10.65.35.166,Full-Chain,RAG_PYOF02C,RAG_SSNN01C
14,ER,C030,2,Access,RAC_YAUDM51C,HundredGigE0/0/1/0,C030_RAC_YAUDM51C-RAC_BMRMM51C_L1,10.65.35.167,HundredGigE0/0/1/1,C030_RAC_YAUDM51C-RAC_SKHSM51C_L1,10.65.35.168,Full-Chain,RAG_PYOF02C,RAG_SSNN01C
15,ER,C030,2,Access,RAC_SKHSM51C,HundredGigE0/0/1/0,C030_RAC_SKHSM51C-RAG_YAUDM51C_L1,10.65.35.169,HundredGigE0/0/1/1,C030_RAC_SKHSM51C-RAC_KNSBM51C_L1,10.65.35.170,Full-Chain,RAG_PYOF02C,RAG_SSNN01C
16,ER,C030,2,Access,RAC_KNSBM51C,HundredGigE0/0/1/0,C030_RAC_KNSBM51C-RAC_SKHSM51C_L1,10.65.35.171,HundredGigE0/0/1/1,C030_RAC_KNSBM51C-RAC_SPALM51C_L1,10.65.35.172,Full-Chain,RAG_PYOF02C,RAG_SSNN01C
17,ER,C030,2,Access,RAC_SPALM51C,HundredGigE0/0/1/0,C030_RAC_SPALM51C-RAC_KNSBM51C_L1,10.65.35.173,HundredGigE0/0/1/1,C030_RAC_SPALM51C-RAC_YASCM51C_L1,10.65.35.174,Full-Chain,RAG_PYOF02C,RAG_SSNN01C
18,ER,C030,2,Access,RAC_YASCM51C,HundredGigE0/0/1/0,C030_RAC_YASCM51C-RAC_SPALM51C_L1,10.65.35.175,HundredGigE0/0/1/1,C030_RAC_YASCM51C-RAG_SSNN01C_L1,10.65.35.186,Full-Chain,RAG_PYOF02C,RAG_SSNN01C
19,ER,C030,2,Aggegrate,RAG_SSNN01C,HundredGigE0/3/0/1,C030_RAG_SSNN01C-RAC_YASCM51C_all_wan_down,10.65.35.187,,,,Full-Chain,RAG_PYOF02C,RAG_SSNN01C
20,ER,C028,3,Aggegrate,RAG_PYOF02C,,,,HundredGigE0/15/0/1,C028_RAG_PYOF02C-RAC_TSKAM51C_all_wan_down,10.65.35.96,Full-Chain,RAG_PYOF02C,RAG_SSNN01C
21,ER,C028,3,Access,RAC_TSKAM51C,HundredGigE0/0/1/0,C028_RAC_TSKAM21C-RAG_PYOF02C_L1,10.65.35.97,HundredGigE0/0/1/1,C028_RAC_TSKAM21C-RAC_TNBYM21C_L1,10.65.35.98,Full-Chain,RAG_PYOF02C,RAG_SSNN01C
22,ER,C028,3,Access,RAC_TNBYM51C,HundredGigE0/0/1/0,C028_RAC_TNBYM51C-RAC_TSKAM51C_L1,10.65.35.99,HundredGigE0/0/1/1,C028_RAC_TNBYM51C-RAC_NSGTM51C_L1,10.65.35.100,Full-Chain,RAG_PYOF02C,RAG_SSNN01C
23,ER,C028,3,Access,RAC_NSGTM51C,HundredGigE0/0/1/0,C028_RAC_NSGTM51C-RAC_TNBYM51C_L1,10.65.35.101,HundredGigE0/0/1/1,C028_RAC_NSGTM51C-RAC_SHAPM51C_L1,10.65.35.102,Full-Chain,RAG_PYOF02C,RAG_SSNN01C
24,ER,C028,3,Access,RAC_SHAPM51C,HundredGigE0/0/1/0,C028_RAC_SHAPM51C-RAC_NSGTM51C_L1,10.65.35.103,HundredGigE0/0/1/1,C028_RAC_SHAPM51C-RAC_WTJCM51C_L1,10.65.35.104,Full-Chain,RAG_PYOF02C,RAG_SSNN01C
25,ER,C028,3,Access,RAC_WTJCM51C,HundredGigE0/0/1/0,C028_RAC_WTJCM51C-RAC_SHAPM51C_L1,10.65.35.105,HundredGigE0/0/1/1,C028_RAC_WTJCM51C-RAC_TLRNM51C_L1,10.65.35.106,Full-Chain,RAG_PYOF02C,RAG_SSNN01C
26,ER,C028,3,Access,RAC_TLRNM51C,HundredGigE0/0/1/0,C028_RAC_TLRNM51C-RAG_WTJCM51C_L1,10.65.35.107,HundredGigE0/0/1/1,C028_RAC_TLRNM51C-RAC_TRNNM51C_L1,10.65.35.108,Full-Chain,RAG_PYOF02C,RAG_SSNN01C
