,sitecode,nodename,model,loopback_id,router_id,menagement_ip,node_type,region,vendor
0,NESCM,RAC_NESCM22C,CISCO_ASR920CC,,,10.243.233.186,RAC,ER,Cisco
1,DKLGM,RAC_DKLGM21C,CISCO_ASR920CC,,,10.122.242.214,RAC,ER,Cisco
2,KKNWM,RAC_KKNWM21C,CISCO_ASR920CC,,,10.122.251.200,RAC,ER,Cisco
3,WBSMM,RAC_WBSMM01C,CISCO_ASR901_TENGIG_DC_TDM,,,10.243.231.228,RAC,ER,Cisco
4,NANCM,RAC_NANCM22C,CISCO_ASR920CC,,,10.243.236.205,RAC,ER,Cisco
5,WDTMM,RAC_WDTMM21C,CISCO_ASR920CC,,,10.122.233.149,RAC,ER,Cisco
6,STKYM,RAC_STKYM01C,CISCO_ASR901_TENGIG_DC_TDM,,,10.243.230.197,RAC,ER,Cisco
7,NTKWM,RAC_NTKWM21C,CISCO_ASR920CC,,,10.122.235.180,RAC,ER,Cisco
8,BRAMM,RAC_BRAMM01C,CISCO_ASR901_TENGIG_DC_TDM,,,10.122.243.5,RAC,ER,Cisco
9,TSCHM,RAC_TSCHM21C,CISCO_ASR920CC,,,10.122.232.135,RAC,ER,Cisco
10,MBCNM,RAC_MBCNM21C,CISCO_ASR920CC,,,10.243.233.231,RAC,ER,Cisco
11,GJTHM,RAC_GJTHM21C,CISCO_ASR920CC,,,10.122.232.237,RAC,ER,Cisco
12,BNRNM,RAC_BNRNM21C,CISCO_ASR920CC,,,10.122.243.4,RAC,ER,Cisco
13,SIBTM,RAC_SIBTM21C,CISCO_ASR920CC,,,10.122.251.104,RAC,ER,Cisco
14,SHUNM,RAC_SHUNM22C,CISCO_ASR920CC,,,10.243.231.21,RAC,ER,Cisco
15,PTSOM,RAC_PTSOM21C,CISCO_ASR920CC,,,10.122.246.101,RAC,ER,Cisco
16,AMEKM,RAC_AMEKM21C,CISCO_ASR920CC,,,10.243.236.102,RAC,ER,Cisco
17,MKHRM,RAC_MKHRM21C,CISCO_ASR920CC,,,10.243.230.24,RAC,ER,Cisco
18,NJKLM,RAC_NJKLM21C,CISCO_ASR920CC,,,10.122.248.107,RAC,ER,Cisco
19,PNIKM,RAC_PNIKM21C,CISCO_ASR920CC,,,10.243.225.40,RAC,ER,Cisco
20,KOSCM,RAC_KOSCM21C,CISCO_ASR920CC,,,10.243.226.228,RAC,ER,Cisco
21,NSKPM,RAC_NSKPM21C,CISCO_ASR920CC,,,10.122.239.220,RAC,ER,Cisco
22,CHOLM,RAC_CHOLM01C,CISCO_ASR901_TENGIG_DC_TDM,,,10.122.236.253,RAC,ER,Cisco
23,SYRRM,RAC_SYRRM21C,CISCO_ASR920CC,,,10.122.243.236,RAC,ER,Cisco
24,NTOLM,RAC_NTOLM21C,CISCO_ASR920CC,,,10.243.225.100,RAC,ER,Cisco
25,WTBMM,RAC_WTBMM21C,CISCO_ASR920CC,,,10.122.251.234,RAC,ER,Cisco
26,WYRRM,RAC_WYRRM01C,CISCO_ASR901_TENGIG_DC_TDM,Loopback0,10.130.243.11,10.122.247.22,RAC,ER,Cisco
27,CATOM,RAC_CATOM21C,CISCO_ASR920CC,,,10.122.236.201,RAC,ER,Cisco
28,TWSPM,RAC_TWSPM21C,,,,10.122.233.123,RAC,ER,Cisco
29,KNMPM,RAC_KNMPM21C,CISCO_ASR920CC,,,10.243.234.248,RAC,ER,Cisco
30,TPTL,RAG_TPTL01C,CISCO_ASR_9010,Loopback0,10.122.224.11,10.122.224.11,RAG,ER,Cisco
31,TPTL,RAG_TPTL01C,CISCO_ASR_9010,Loopback10,10.65.0.11,10.122.224.11,RAG,ER,Cisco
32,TNPPM,RAC_TNPPM21C,CISCO_ASR920CC,,,10.122.242.183,RAC,ER,Cisco
33,KHLUM,RAC_KHLUM21C,CISCO_ASR920CC,,,10.243.226.153,RAC,ER,Cisco
34,NNNKM,RAC_NNNKM21C,CISCO_ASR920CC,,,10.122.234.189,RAC,ER,Cisco
35,WPBSM,RAC_WPBSM01C,CISCO_ASR901_TENGIG_DC_TDM,,,10.122.251.149,RAC,ER,Cisco
36,HNYIM,RAC_HNYIM01C,CISCO_ASR901_TENGIG_DC_TDM,,,10.243.232.216,RAC,ER,Cisco
37,WAKTM,RAC_WAKTM01C,CISCO_ASR901_TENGIG_DC_TDM,,,10.122.243.250,RAC,ER,Cisco
38,PHLOM,RAC_PHLOM21C,CISCO_ASR920CC,,,10.122.251.188,RAC,ER,Cisco
39,KSCNM,RAC_KSCNM01C,CISCO_ASR901_TENGIG_DC_TDM,,,10.122.251.86,RAC,ER,Cisco
40,KMUPM,RAC_KMUPM01C,CISCO_ASR901_TENGIG_DC_TDM,,,10.243.227.38,RAC,ER,Cisco
41,NOMNM,RAC_NOMNM21C,CISCO_ASR920CC,,,10.122.233.24,RAC,ER,Cisco
42,NGSSM,RAC_NGSSM01C,CISCO_ASR901_TENGIG_DC_TDM,,,10.122.233.213,RAC,ER,Cisco
43,BGHTP,RAC_BGHTP01C,CISCO_ASR901_TENGIG_DC_TDM,,,10.243.233.101,RAC,ER,Cisco
44,PNNK,RAG_PNNK01C,CISCO_ASR_9010,Loopback0,10.122.224.6,10.122.224.6,RAG,ER,Cisco
45,PNNK,RAG_PNNK01C,CISCO_ASR_9010,Loopback10,10.65.0.6,10.122.224.6,RAG,ER,Cisco
46,KSAOM,RAC_KSAOM01C,CISCO_ASR901_TENGIG_DC_TDM,,,10.122.241.150,RAC,ER,Cisco
47,CGNNM,RAC_CGNNM21C,CISCO_ASR920CC,,,10.122.238.132,RAC,ER,Cisco
48,WTPNM,RAC_WTPNM21C,CISCO_ASR920CC,,,10.122.246.140,RAC,ER,Cisco
49,BTPDM,RAC_BTPDM21C,CISCO_ASR920CC,,,10.122.243.52,RAC,ER,Cisco
50,ARMPM,RAC_ARMPM01C,CISCO_ASR901_TENGIG_DC_TDM,Loopback0,10.130.242.83,10.122.243.198,RAC,ER,Cisco
51,BOTGM,RAC_BOTGM21C,CISCO_ASR920CC,,,10.122.236.60,RAC,ER,Cisco
52,WKNTM,RAC_WKNTM21C,CISCO_ASR920CC,,,10.122.237.39,RAC,ER,Cisco
53,KHPKM,RAC_KHPKM01C,CISCO_ASR901_TENGIG_DC_TDM,,,10.122.242.101,RAC,ER,Cisco
54,WMGKM,RAC_WMGKM21C,CISCO_ASR920CC,,,10.122.237.14,RAC,ER,Cisco
55,SROJM,RAC_SROJM21C,CISCO_ASR920CC,,,10.122.246.87,RAC,ER,Cisco
56,RRTLM,RAC_RRTLM01C,CISCO_ASR901_TENGIG_DC_TDM,,,10.122.243.106,RAC,ER,Cisco
57,OMRNM,RAC_OMRNM21C,CISCO_ASR920CC,,,10.122.243.152,RAC,ER,Cisco
58,SIPNM,RAC_SIPNM21C,CISCO_ASR920CC,,,10.122.235.213,RAC,ER,Cisco
59,NAYO,RAG_NAYO01C,CISCO_ASR_9010,Loopback0,10.122.224.40,10.122.224.40,RAG,ER,Cisco
60,ARPDM,RAC_ARPDM21C,CISCO_ASR920CC,,,10.243.231.52,RAC,ER,Cisco
61,CNBRM,RAC_CNBRM02C,CISCO_ASR901_TENGIG_DC_TDM,,,10.122.240.251,RAC,ER,Cisco
62,MPHSM,RAC_MPHSM21C,CISCO_ASR920CC,,,10.243.226.181,RAC,ER,Cisco
63,TKGRM,RAC_TKGRM01C,CISCO_ASR901_TENGIG_DC_TDM,Loopback0,10.130.243.100,10.122.237.174,RAC,ER,Cisco
64,CPCBP,RAC_CPCBP21C,CISCO_ASR920CC,,,10.243.225.180,RAC,ER,Cisco
65,PKYPM,RAC_PKYPM21C,CISCO_ASR920CC,,,10.243.224.85,RAC,ER,Cisco
66,EATHM,RAC_EATHM21C,CISCO_ASR920CC,,,10.243.228.181,RAC,ER,Cisco
67,BDYRM,RAC_BDYRM01C,CISCO_ASR901_TENGIG_DC_TDM,,,10.243.235.38,RAC,ER,Cisco
68,TLNG,RAG_TLNG01C,CISCO_ASR_9010,Loopback0,10.122.224.69,10.122.224.69,RAG,ER,Cisco
69,KKNSM,RAC_KKNSM21C,CISCO_ASR920CC,,,10.122.251.9,RAC,ER,Cisco
70,STESM,RAC_STESM21C,CISCO_ASR920CC,,,10.122.233.238,RAC,ER,Cisco
71,WKSSM,RAC_WKSSM21C,CISCO_ASR920CC,,,10.122.240.103,RAC,ER,Cisco
72,WMLDM,RAC_WMLDM02C,CISCO_ASR901_TENGIG_DC_TDM,,,10.243.229.72,RAC,ER,Cisco
73,NAICM,RAC_NAICM21C,CISCO_ASR920CC,,,10.243.235.181,RAC,ER,Cisco
74,YTMAM,RAC_YTMAM21C,CISCO_ASR920CC,,,10.122.238.102,RAC,ER,Cisco
75,CACSM,RAC_CACSM21C,CISCO_ASR920CC,,,10.122.240.150,RAC,ER,Cisco
76,WYSTM,RAC_WYSTM21C,CISCO_ASR920CC,,,10.122.245.5,RAC,ER,Cisco
77,DSRNM,RAC_DSRNM01C,CISCO_ASR901_TENGIG_DC_TDM,,,10.122.234.166,RAC,ER,Cisco
78,NYRKM,RAC_NYRKM22C,CISCO_ASR920CC,,,10.243.232.6,RAC,ER,Cisco
79,WLGAM,RAC_WLGAM04C,CISCO_ASR901_TENGIG_DC_TDM,,,10.243.230.73,RAC,ER,Cisco
80,ACTAM,RAC_ACTAM01C,CISCO_ASR901_TENGIG_DC_TDM,Loopback0,10.130.242.97,10.243.237.85,RAC,ER,Cisco
81,TPTGM,RAC_TPTGM01C,CISCO_ASR901_TENGIG_DC_TDM,,,10.122.236.121,RAC,ER,Cisco
82,WCPYM,RAC_WCPYM21C,CISCO_ASR920CC,,,10.122.240.91,RAC,ER,Cisco
83,SPOKM,RAC_SPOKM21C,CISCO_ASR920CC,,,10.122.239.72,RAC,ER,Cisco
84,EWSPM,RAC_EWSPM01C,CISCO_ASR901_TENGIG_DC_TDM,Loopback0,10.130.242.145,10.243.237.52,RAC,ER,Cisco
85,WKMAM,RAC_WKMAM21C,CISCO_ASR920CC,,,10.122.250.93,RAC,ER,Cisco
86,CHLSM,RAC_CHLSM21C,CISCO_ASR920CC,,,10.122.248.169,RAC,ER,Cisco
87,TLAMP,RAC_TLAMP21C,CISCO_ASR920CC,,,10.122.233.138,RAC,ER,Cisco
88,KLSLM,RAC_KLSLM21C,CISCO_ASR920CC,,,10.243.224.87,RAC,ER,Cisco
89,NKKBM,RAC_NKKBM22C,CISCO_ASR920CC,,,10.122.245.87,RAC,ER,Cisco
90,SEKBM,RAC_SEKBM01C,CISCO_ASR901_TENGIG_DC_TDM,,,10.243.229.229,RAC,ER,Cisco
91,LMHGM,RAC_LMHGM21C,CISCO_ASR920CC,,,10.243.227.196,RAC,ER,Cisco
92,BPSUM,RAC_BPSUM21C,CISCO_ASR920CC,,,10.122.237.172,RAC,ER,Cisco
93,TLVWM,RAC_TLVWM21C,CISCO_ASR920CC,,,10.122.233.150,RAC,ER,Cisco
94,SDCKM,RAC_SDCKM01C,CISCO_ASR901_TENGIG_DC_TDM,,,10.122.251.246,RAC,ER,Cisco
95,CTHNM,RAC_CTHNM21C,CISCO_ASR920CC,,,10.243.226.106,RAC,ER,Cisco
96,KMKGM,RAC_KMKGM21C,CISCO_ASR920CC,,,10.122.242.212,RAC,ER,Cisco
97,BHLMM,RAC_BHLMM01C,CISCO_ASR901_TENGIG_DC_TDM,Loopback0,10.130.242.139,10.122.232.41,RAC,ER,Cisco
98,LCBIM,RAC_LCBIM21C,CISCO_ASR920CC,,,10.122.246.75,RAC,ER,Cisco
99,KBIKM,RAC_KBIKM21C,CISCO_ASR920CC,,,10.122.237.157,RAC,ER,Cisco
100,KLPNM,RAC_KLPNM21C,CISCO_ASR920CC,,,10.122.236.244,RAC,ER,Cisco
101,PGPHM,RAC_PGPHM21C,CISCO_ASR920CC,,,10.122.236.4,RAC,ER,Cisco
102,NBUTM,RAC_NBUTM21C,CISCO_ASR920CC,,,10.243.234.23,RAC,ER,Cisco
103,TOKTM,RAC_TOKTM01C,CISCO_ASR901_TENGIG_DC_TDM,,,10.122.250.5,RAC,ER,Cisco
104,WNMEM,RAC_WNMEM01C,CISCO_ASR901_TENGIG_DC_TDM,,,10.243.229.230,RAC,ER,Cisco
105,CAPNM,RAC_CAPNM51C,Cisco_NCS_540,Loopback0,10.65.3.41,10.124.220.41,RAC,ER,Cisco
106,PYWLM,RAC_PYWLM21C,CISCO_ASR920CC,,,10.243.226.169,RAC,ER,Cisco
107,MATYM,RAC_MATYM01C,CISCO_ASR901_TENGIG_DC_TDM,,,10.243.228.43,RAC,ER,Cisco
108,PYSMM,RAC_PYSMM21C,CISCO_ASR920CC,,,10.243.226.54,RAC,ER,Cisco
109,BCPCP,RAC_BCPCP21C,CISCO_ASR920CC,,,10.122.238.106,RAC,ER,Cisco
110,SNCK,RAG_SNCK01C,CISCO_ASR_9010,Loopback0,10.122.224.21,10.122.224.21,RAG,ER,Cisco
111,SJAMM,RAC_SJAMM21C,CISCO_ASR920CC,,,10.122.243.221,RAC,ER,Cisco
112,SLVLM,RAC_SLVLM21C,CISCO_ASR920CC,,,10.122.240.182,RAC,ER,Cisco
113,LCHBM,RAC_LCHBM22C,CISCO_ASR920CC,,,10.122.239.26,RAC,ER,Cisco
114,WSREM,RAC_WSREM21C,CISCO_ASR920CC,,,10.122.245.4,RAC,ER,Cisco
115,BACHM,RAC_BACHM04C,CISCO_ASR901_TENGIG_DC_TDM,,,10.122.243.36,RAC,ER,Cisco
116,WTPIM,RAC_WTPIM01C,CISCO_ASR901_TENGIG_DC_TDM,,,10.243.225.36,RAC,ER,Cisco
117,KMKKM,RAC_KMKKM21C,CISCO_ASR920CC,,,10.122.237.54,RAC,ER,Cisco
118,SSSCM,RAC_SSSCM22C,CISCO_ASR920CC,,,10.122.248.117,RAC,ER,Cisco
119,BASDM,RAC_BASDM21C,CISCO_ASR920CC,,,10.243.233.216,RAC,ER,Cisco
120,WMLDM,RAC_WMLDM21C,CISCO_ASR920CC,,,10.122.232.56,RAC,ER,Cisco
121,HNREM,RAC_HNREM01C,CISCO_ASR901_TENGIG_DC_TDM,Loopback0,10.130.242.247,10.122.235.56,RAC,ER,Cisco
122,BPBSM,RAC_BPBSM21C,CISCO_ASR920CC,,,10.122.238.214,RAC,ER,Cisco
123,TPTKM,RAC_TPTKM21C,CISCO_ASR920CC,,,10.122.237.69,RAC,ER,Cisco
124,NKDNM,RAC_NKDNM01C,CISCO_ASR901_TENGIG_DC_TDM,,,10.122.236.180,RAC,ER,Cisco
125,CDHTM,RAC_CDHTM21C,CISCO_ASR920CC,,,10.122.246.90,RAC,ER,Cisco
