,region,chain_name,chain_id,node_type,node_name,top_interface,top_interface_description,top_ip,bot_interface,bot_interface_description,bot_ip,chain_type,upe1,upe2
0,NER,KKNC12,1,Aggegrate,RAG_BKKWM01C,,,,HundredGigE0/5/0/0,RAG_BKKWM01C-RAC_TPNMK51C_KKNC12_all_wan_down,10.65.141.96,Full-Chain,RAG_BKKWM01C,RAG_KKAPM01C
1,NER,KKNC12,1,Access,RAC_TPNMK51C,HundredGigE0/0/1/0,RAC_TPNMK51C-RAG_BKKWM01C_UPE1,10.65.141.97,HundredGigE0/0/1/1,RAC_TPNMK51C-RAC_CNKGM51C_L1,10.65.141.98,Full-Chain,RAG_BKKWM01C,RAG_KKAPM01C
2,NER,KKNC12,1,Access,RAC_CNKGM51C,HundredGigE0/0/1/0,RAC_CNKGM51C-RAC_TPNMK51C_L1,10.65.141.99,HundredGigE0/0/1/1,RAC_CNKGM51C-RAC_LKKNM51C_L1,10.65.141.100,Full-Chain,RAG_BKKWM01C,RAG_KKAPM01C
3,NER,KKNC12,1,Access,RAC_LKKNM51C,HundredGigE0/0/1/0,RAC_LKKNM51C-RAC_CNKGM51C_L1,10.65.141.101,HundredGigE0/0/1/1,RAC_LKKNM51C-RAC_KCREM51C_L1,10.65.141.102,Full-Chain,RAG_BKKWM01C,RAG_KKAPM01C
4,NER,KKNC12,1,Access,RAC_KCREM51C,HundredGigE0/0/1/0,RAC_KCREM51C-RAC_LKKNM51C_L1,10.65.141.103,HundredGigE0/0/1/1,RAC_KCREM51C-RAC_BKFPM51C_L1,10.65.141.104,Full-Chain,RAG_BKKWM01C,RAG_KKAPM01C
5,NER,KKNC12,1,Access,RAC_BKFPM51C,HundredGigE0/0/1/0,RAC_BKFPM51C-RAC_KCREM51C_L1,10.65.141.105,HundredGigE0/0/1/1,RAC_BKFPM51C-RAC_BPDMO51C_L1,10.65.141.106,Full-Chain,RAG_BKKWM01C,RAG_KKAPM01C
6,NER,KKNC12,1,Access,RAC_BPDMO51C,HundredGigE0/0/1/0,RAC_BPDMO51C-RAC_BKFPM51C_L1,10.65.141.107,HundredGigE0/0/1/1,RAC_BPDMO51C-RAC_NGLBM51C_L1,10.65.141.108,Full-Chain,RAG_BKKWM01C,RAG_KKAPM01C
7,NER,KKNC12,1,Access,RAC_NGLBM51C,HundredGigE0/0/1/0,RAC_NGLBM51C-RAC_BPDMO51C_L1,10.65.141.109,HundredGigE0/0/1/1,RAC_NGLBM51C-RAC_BPTKN51C_L1,10.65.141.110,Full-Chain,RAG_BKKWM01C,RAG_KKAPM01C
8,NER,KKNC12,1,Access,RAC_BPTKN51C,HundredGigE0/0/1/0,RAC_BPTKN51C-RAC_NGLBM51C_L1,10.65.141.111,HundredGigE0/0/1/1,RAC_BPTKN51C-RAC_NBTKA51C_L1,10.65.141.112,Full-Chain,RAG_BKKWM01C,RAG_KKAPM01C
9,NER,KKNC12,1,Access,RAC_NBTKA51C,HundredGigE0/0/1/0,RAC_NBTKA51C-RAC_BPTKN51C_L1,10.65.141.113,HundredGigE0/0/1/1,RAC_NBTKA51C-RAC_KKAPM51C_L1,10.65.141.114,Full-Chain,RAG_BKKWM01C,RAG_KKAPM01C
10,NER,KKNC12,1,Access,RAC_KKAPM51C,HundredGigE0/0/1/0,RAC_KKAPM51C-RAC_NBTKA51C_L1,10.65.141.115,HundredGigE0/0/1/1,RAC_KKAPM51C-RAG_KKAPM01C_UPE2,10.65.141.122,Full-Chain,RAG_BKKWM01C,RAG_KKAPM01C
11,NER,KKNC12,1,Aggegrate,RAG_KKAPM01C,HundredGigE0/5/0/0,RAG_KKAPM01C-RAC_KKAPM51C_KKNC12_all_wan_down,10.65.141.123,,,,Full-Chain,RAG_BKKWM01C,RAG_KKAPM01C
12,NER,NMAC14,2,Aggegrate,RAG_BWTSM01C,,,,HundredGigE0/5/0/1,RAG_BWTSM01C-RAC_RSDRM51C_NMAC14_all_wan_down,10.65.154.32,Full-Chain,RAG_BWTSM01C,RAG_MCKCM01C
13,NER,NMAC14,2,Access,RAC_RSDRM51C,HundredGigE0/0/1/0,RAC_RSDRM51C-RAG_BWTSM01C_L1,10.65.154.33,HundredGigE0/0/1/1,RAC_RSDRM51C-RAC_BNTGM51C_L1,10.65.154.34,Full-Chain,RAG_BWTSM01C,RAG_MCKCM01C
14,NER,NMAC14,2,Access,RAC_BNTGM51C,HundredGigE0/0/1/0,RAC_BNTGM51C-RAC_RSDRM51C_L1,10.65.154.35,HundredGigE0/0/1/1,RAC_BNTGM51C-RAC_TNSPL51C_L1,10.65.154.36,Full-Chain,RAG_BWTSM01C,RAG_MCKCM01C
15,NER,NMAC14,2,Access,RAC_TNSPL51C,HundredGigE0/0/1/0,RAC_TNSPL51C-RAC_BNTGM51C_L1,10.65.154.37,HundredGigE0/0/1/1,RAC_TNSPL51C-RAC_BCOMM51C_L1,10.65.154.38,Full-Chain,RAG_BWTSM01C,RAG_MCKCM01C
16,NER,NMAC14,2,Access,RAC_BCOMM51C,HundredGigE0/0/1/0,RAC_BCOMM51C-RAC_TNSPL51C_L1,10.65.154.39,HundredGigE0/0/1/1,RAC_BCOMM51C-RAC_LKUSM51C_L1,10.65.154.40,Full-Chain,RAG_BWTSM01C,RAG_MCKCM01C
17,NER,NMAC14,2,Access,RAC_LKUSM51C,HundredGigE0/0/1/0,RAC_LKUSM51C-RAC_BCOMM51C_L1,10.65.154.41,HundredGigE0/0/1/1,RAC_LKUSM51C-RAC_NPLNR51C_L1,10.65.154.42,Full-Chain,RAG_BWTSM01C,RAG_MCKCM01C
18,NER,NMAC14,2,Access,RAC_NPLNR51C,HundredGigE0/0/1/0,RAC_NPLNR51C-RAC_LKUSM51C_L1,10.65.154.43,HundredGigE0/0/1/1,RAC_NPLNR51C-RAC_TJVCM51C_L1,10.65.154.44,Full-Chain,RAG_BWTSM01C,RAG_MCKCM01C
19,NER,NMAC14,2,Access,RAC_TJVCM51C,HundredGigE0/0/1/0,RAC_TJVCM51C-RAC_NPLNR51C_L1,10.65.154.45,HundredGigE0/0/1/1,RAC_TJVCM51C-RAC_JVCFM51C_L1,10.65.154.46,Full-Chain,RAG_BWTSM01C,RAG_MCKCM01C
20,NER,NMAC14,2,Access,RAC_JVCFM51C,HundredGigE0/0/1/0,RAC_JVCFM51C-RAC_TJVCM51C_L1,10.65.154.47,HundredGigE0/0/1/1,RAC_JVCFM51C-RAC_KESRM51C_L1,10.65.154.48,Full-Chain,RAG_BWTSM01C,RAG_MCKCM01C
21,NER,NMAC14,2,Access,RAC_KESRM51C,HundredGigE0/0/1/0,RAC_KESRM51C-RAC_JVCFM51C_L1,10.65.154.49,HundredGigE0/0/1/1,RAC_KESRM51C-RAC_NTLPM51C_L1,10.65.154.50,Full-Chain,RAG_BWTSM01C,RAG_MCKCM01C
22,NER,NMAC14,2,Access,RAC_NTLPM51C,HundredGigE0/0/1/0,RAC_NTLPM51C-RAC_KESRM51C_L1,10.65.154.51,HundredGigE0/0/1/1,RAC_NTLPM51C-RAC_NUKMM51C_L1,10.65.154.52,Full-Chain,RAG_BWTSM01C,RAG_MCKCM01C
23,NER,NMAC14,2,Access,RAC_NUKMM51C,HundredGigE0/0/1/0,RAC_NUKMM51C-RAC_NTLPM51C_L1,10.65.154.53,HundredGigE0/0/1/1,RAC_NUKMM51C-RAG_MCKCM01C_L1,10.65.154.58,Full-Chain,RAG_BWTSM01C,RAG_MCKCM01C
24,NER,NMAC14,2,Aggegrate,RAG_MCKCM01C,HundredGigE0/5/0/0,RAG_MCKCM01C-RAC_NUKMM51C_NMAC14_all_wan_down,10.65.154.59,,,,Full-Chain,RAG_BWTSM01C,RAG_MCKCM01C
25,NER,KKNC11,3,Aggegrate,RAG_SILAM01C,,,,HundredGigE0/5/0/0,RAG_SILAM01C-RAC_SILAM51C_KKNC11_all_wan_down,10.65.141.64,Full-Chain,RAG_SILAM01C,RAG_BPKUM01C
26,NER,KKNC11,3,Access,RAC_SILAM51C,HundredGigE0/0/1/0,RAC_SILAM51C-RAG_SILAM01C_L1,10.65.141.65,HundredGigE0/0/1/1,RAC_SILAM51C-RAC_NPAKK51C_L1,10.65.141.66,Full-Chain,RAG_SILAM01C,RAG_BPKUM01C
27,NER,KKNC11,3,Access,RAC_NPAKK51C,HundredGigE0/0/1/0,RAC_NPAKK51C-RAC_SILAM51C_L1,10.65.141.67,HundredGigE0/0/1/1,RAC_NPAKK51C-RAC_KKNKM51C_L1,10.65.141.68,Full-Chain,RAG_SILAM01C,RAG_BPKUM01C
28,NER,KKNC11,3,Access,RAC_KKNKM51C,HundredGigE0/0/1/0,RAC_KKNKM51C-RAC_NPAKK51C_L1,10.65.141.69,HundredGigE0/0/1/1,RAC_KKNKM51C-RAC_DYANG51C_L1,10.65.141.70,Full-Chain,RAG_SILAM01C,RAG_BPKUM01C
29,NER,KKNC11,3,Access,RAC_DYANG51C,HundredGigE0/0/1/0,RAC_DYANG51C-RAC_KKNKM51C_L1,10.65.141.71,HundredGigE0/0/1/1,RAC_DYANG51C-RAC_BNNCM51C_L1,10.65.141.72,Full-Chain,RAG_SILAM01C,RAG_BPKUM01C
30,NER,KKNC11,3,Access,RAC_BNNCM51C,HundredGigE0/0/1/0,RAC_BNNCM51C-RAC_DYANG51C_L1,10.65.141.73,HundredGigE0/0/1/1,RAC_BNNCM51C-RAC_TMKKM51C_L1,10.65.141.74,Full-Chain,RAG_SILAM01C,RAG_BPKUM01C
31,NER,KKNC11,3,Access,RAC_TMKKM51C,HundredGigE0/0/1/0,RAC_TMKKM51C-RAC_BNNCM51C_L1,10.65.141.75,HundredGigE0/0/1/1,RAC_TMKKM51C-RAC_IFCAS51C_L1,10.65.141.76,Full-Chain,RAG_SILAM01C,RAG_BPKUM01C
