,sitecode,nodename,model,loopback_id,router_id,menagement_ip,node_type,region,vendor
0,NWGWR,RAC_NWGWR01C,CISCO_ASR901_TENGIG_DC_TDM,,,10.243.130.124,RAC,NER,Cisco
1,KMOEM,RAC_KMOEM01C,CISCO_ASR901_TENGIG_DC_TDM,,,10.243.129.245,RAC,NER,Cisco
2,SMRHM,RAC_SMRHM21C,CISCO_ASR920CC,,,10.122.83.232,RAC,NER,Cisco
3,MBGDM,RAC_MBGDM01C,CISCO_ASR901_TENGIG_DC_TDM,,,10.122.106.248,RAC,NER,Cisco
4,PGKHM,RAG_PGKHM01C,CISCO_ASR_9010,Loopback0,10.122.86.27,10.122.86.27,RAG,NER,Cisco
5,NACSA,RAC_NACSA21C,CISCO_ASR920CC,,,10.243.129.170,RAC,NER,Cisco
6,WHSJR,RAC_WHSJR21C,CISCO_ASR920CC,,,10.122.106.133,RAC,NER,Cisco
7,TLRSN,RAC_TLRSN21C,CISCO_ASR920CC,,,10.122.90.105,RAC,NER,Cisco
8,KNLUM,RAC_KNLUM01C,CISCO_ASR901_TENGIG_DC_TDM,,,10.243.128.133,RAC,NER,Cisco
9,KSWND,RAC_KSWND21C,CISCO_ASR920CC,,,10.122.93.183,RAC,NER,Cisco
10,KSPTM,RAC_KSPTM21C,CISCO_ASR920CC,,,10.122.83.118,RAC,NER,Cisco
11,NGRAM,RAG_NGRAM01C,CISCO_ASR_9010,Loopback0,10.122.86.38,10.122.86.38,RAG,NER,Cisco
12,NGRAM,RAG_NGRAM01C,CISCO_ASR_9010,Loopback10,10.65.128.138,10.122.86.38,RAG,NER,Cisco
13,BTPNW,RAC_BTPNW01C,CISCO_ASR901_TENGIG_DC_TDM,,,10.122.89.42,RAC,NER,Cisco
14,TKTPT,RAC_TKTPT01C,CISCO_ASR901_TENGIG_DC_TDM,,,10.243.137.87,RAC,NER,Cisco
15,SRAKM,RAC_SRAKM21C,CISCO_ASR920CC,,,10.122.84.55,RAC,NER,Cisco
16,WBPWN,RAC_WBPWN21C,CISCO_ASR920CC,,,10.122.106.88,RAC,NER,Cisco
